Tiempo (s);Masa (kg);Cantidad de Cuerda (m);Altura (m);Posicion (m);Velocidad (m/s);Constante de Elasticidad (N/m);Constante del Aire;Gravedad (m/s2)
33.700.058;105.0;240;240.0;65.556.087;16.065.081;200.0;19.075;9.81
33.800.056;105.0;240;240.0;6.694.708;12.952.679;200.0;19.075;9.81
33.900.055;105.0;240;240.0;68.025.074;0.9654461;200.0;19.075;9.81
34.000.053;105.0;240;240.0;6.877.552;0.6235455;200.0;19.075;9.81
3.410.005;105.0;240;240.0;6.919.033;0.2761519;200.0;19.075;9.81
3.420.005;105.0;240;240.0;69.267.797;-0.07015747;200.0;19.075;9.81
3.430.005;105.0;240;240.0;6.901.253;-0.40894285;200.0;19.075;9.81
34.400.047;105.0;240;240.0;68.435.264;-0.7340205;200.0;19.075;9.81
34.500.046;105.0;240;240.0;6.755.251;-10.395.815;200.0;19.075;9.81
34.600.044;105.0;240;240.0;66.386.266;-132.026;200.0;19.075;9.81
34.700.043;105.0;240;240.0;64.963.355;-15.712.768;200.0;19.075;9.81
3.480.004;105.0;240;240.0;63.314.915;-17.884.818;200.0;19.075;9.81
3.490.004;105.0;240;240.0;6.147.575;-1.968.431;200.0;19.075;9.81
3.500.004;105.0;240;240.0;5.948.353;-21.084.409;200.0;19.075;9.81
35.100.037;105.0;240;240.0;5.737.825;-22.066.073;200.0;19.075;9.81
35.200.035;105.0;240;240.0;5.520.117;-22.618.566;200.0;19.075;9.81
35.300.034;105.0;240;240.0;5.299.418;-22.739.277;200.0;19.075;9.81
35.400.032;105.0;240;240.0;5.079.898;-22.433.705;200.0;19.075;9.81
3.550.003;105.0;240;240.0;48.656.297;-21.715.198;200.0;19.075;9.81
3.560.003;105.0;240;240.0;466.051;-20.604.546;200.0;19.075;9.81
35.700.027;105.0;240;240.0;4.468.212;-19.129.544;200.0;19.075;9.81
35.800.026;105.0;240;240.0;42.920.866;-17.324.221;200.0;19.075;9.81
35.900.024;105.0;240;240.0;4.135.128;-15.228.188;200.0;19.075;9.81
36.000.023;105.0;240;240.0;39.999.194;-12.885.749;200.0;19.075;9.81
3.610.002;105.0;240;240.0;38.885.899;-10.344.944;200.0;19.075;9.81
3.620.002;105.0;240;240.0;38.027.935;-0.76568604;200.0;19.075;9.81
3.630.002;105.0;240;240.0;37.436.686;-0.4874214;200.0;19.075;9.81
36.400.017;105.0;240;240.0;37.118.397;-0.20505983;200.0;19.075;9.81
36.500.015;105.0;240;240.0;37.074.099;0.076058656;200.0;19.075;9.81
36.600.014;105.0;240;240.0;37.299.705;0.3507129;200.0;19.075;9.81
36.700.012;105.0;240;240.0;37.786.179;0.6139037;200.0;19.075;9.81
3.680.001;105.0;240;240.0;38.519.738;0.8609132;200.0;19.075;9.81
3.690.001;105.0;240;240.0;39.482.274;10.874.326;200.0;19.075;9.81
37.000.008;105.0;240;240.0;4.065.173;12.896.042;200.0;19.075;9.81
37.100.006;105.0;240;240.0;4.200.258;14.640.944;200.0;19.075;9.81
37.200.005;105.0;240;240.0;43.506.403;160.815;200.0;19.075;9.81
37.300.003;105.0;240;240.0;4.513.234;17.196.211;200.0;19.075;9.81
37.4;105.0;240;240.0;4.684.791;17.970.185;200.0;19.075;9.81
37.5;105.0;240;240.0;48.619.504;18.395.103;200.0;19.075;9.81
37.6;105.0;240;240.0;5.041.307;18.469.303;200.0;19.075;9.81
37.699.997;105.0;240;240.0;5.219.476;18.197.691;200.0;19.075;9.81
37.799.995;105.0;240;240.0;5.393.162;17.591.535;200.0;19.075;9.81
37.899.994;105.0;240;240.0;5.559.194;16.668.158;200.0;19.075;9.81
37.999.992;105.0;240;240.0;57.146.196;15.450.468;200.0;19.075;9.81
3.809.999;105.0;240;240.0;5.856.729;13.966.467;200.0;19.075;9.81
